Payments_ID,Payment_Type,Payment_Number,Verification_Code,Expiration_Date
1,diners-club-carte-blanche,30137707732941,54569-0118,2023-08
2,jcb,3564791067057469,65044-1744,2023-07
3,switch,491117708704402840,53942-243,2023-03
4,diners-club-enroute,201809342616696,0603-4247,2023-06
5,jcb,3581539654089042,63868-803,2023-08
6,jcb,3550604425398812,61657-0003,2022-09
7,bankcard,5602212350680155,51079-925,2023-02
8,americanexpress,337941112430813,11673-319,2023-08
9,jcb,3544278714678306,49035-294,2023-02
10,mastercard,5100173232892433,62742-4063,2022-12
11,mastercard,5263351044896627,54868-4352,2023-04
12,china-unionpay,5610451620914835145,68391-344,2023-08
13,jcb,3562464135296012,46122-055,2022-11
14,diners-club-carte-blanche,30319169514096,68788-9095,2022-11
15,jcb,3585709523287459,60681-0113,2023-01
16,jcb,3572696741606856,47682-159,2022-12
17,laser,67090554409584709,55150-173,2023-01
18,bankcard,5610534809947376,65121-010,2023-03
19,americanexpress,342242229728402,55289-531,2022-10
20,china-unionpay,56022524719645652,49967-182,2022-10
21,laser,6304556450721817,63824-182,2023-07
22,americanexpress,374288392561154,15955-327,2022-12
23,mastercard,5048377664708661,52685-386,2022-09
24,jcb,3564637667642459,63162-520,2022-11
25,diners-club-carte-blanche,30331396420856,59630-755,2023-04
26,americanexpress,377700150089738,10096-0171,2023-03
27,bankcard,5602243385561078,65585-511,2023-02
28,maestro,6759612785274768036,68151-4474,2023-02
29,jcb,3531384923547491,68382-010,2023-04
30,americanexpress,374283748305448,62670-4833,2023-01
31,visa,4017953468063,35418-203,2023-08
32,maestro,0604093717900489044,54868-2198,2023-06
33,americanexpress,337941129656921,24794-109,2023-02
34,jcb,3547970986358602,54868-0700,2023-06
35,visa-electron,4405733405651034,55289-186,2022-12
36,jcb,3553821651599379,49884-984,2023-06
37,jcb,3574000293192365,37808-724,2023-04
38,mastercard,5100136304423635,58789-002,2023-07
39,china-unionpay,5602253910852343336,0268-6734,2023-07
40,visa,4041590111328962,54569-0384,2023-08
41,diners-club-carte-blanche,30414308928487,64679-717,2022-09
42,diners-club-enroute,201764775519877,53329-087,2023-08
43,maestro,0604131020255012535,41250-309,2023-02
44,jcb,3575692834648316,0093-3165,2023-06
45,solo,6767336889097026,49288-0929,2023-05
46,mastercard,5002358587871525,55154-6966,2023-05
47,china-unionpay,5602234632856775,54868-5717,2023-08
48,jcb,3530250208328785,60760-428,2022-12
49,mastercard,5100147951009254,52731-7005,2022-12
50,bankcard,5602247838431797,47682-406,2023-03
51,mastercard,5010122453645284,0363-0018,2022-11
52,diners-club-carte-blanche,30180824166841,63304-205,2023-03
53,visa,4041376309571,0904-5832,2023-02
54,jcb,3582200434157497,41250-309,2022-11
55,jcb,3588471300447106,54868-6393,2023-03
56,americanexpress,344817234481267,51681-0011,2023-01
57,jcb,3583616173277130,76214-015,2023-06
58,jcb,3558038339198624,52343-041,2022-11
59,diners-club-enroute,201505497511332,51346-200,2023-07
60,bankcard,5602210960924773,0942-6329,2023-01
61,bankcard,5602256174504752,63629-3314,2022-11
62,jcb,3575487650534900,41415-076,2022-09
63,jcb,3588485384094212,0555-9131,2023-02
64,jcb,3528215583913604,36987-2758,2023-04
65,jcb,3568532777769795,66993-056,2023-07
66,jcb,3553320519733387,63941-164,2023-07
67,jcb,3574059341518724,24236-448,2023-05
68,laser,670690200591108866,37012-175,2022-09
69,diners-club-us-ca,5465646154450586,54569-0917,2022-12
70,jcb,3555860945997088,21695-264,2022-10
71,maestro,503838396969672420,43742-0489,2023-07
72,china-unionpay,560224643855953816,53389-513,2022-12
73,maestro,0604217053422718038,40057-2000,2023-01
74,visa,4041597571880861,0363-0585,2023-06
75,jcb,3532313982700864,0591-2610,2022-11
76,maestro,5893768621385130727,59115-057,2023-07
77,visa-electron,4844918221574200,0178-0370,2023-06
78,jcb,3565189921075331,51386-724,2022-09
79,mastercard,5440750568417031,0527-1445,2022-11
80,mastercard,5179283522808878,34362-0232,2022-10
81,jcb,3554582547263328,24488-004,2023-08
82,mastercard,5002351424211872,29300-127,2023-05
83,jcb,3545167245093342,51079-667,2023-03
84,jcb,3543957162300205,55154-4180,2022-10
85,mastercard,5002358926864546,63739-404,2023-02
86,bankcard,5602236861280510,59078-009,2022-11
87,jcb,3585895804119758,60760-106,2022-11
88,jcb,3535363950085696,57955-1803,2022-08
89,visa-electron,4508566511096595,63433-894,2022-10
90,instapayment,6397742274251854,0942-6488,2023-06
